sp,id
Ankistrodesmus falcatus,1
Botryococcus sudeticus,2
Chlamydocapsa ampla,3
Chlamydomonas moewusii,4
Chlorella sorokiniana,5
Closteriopsis acicularis,7
Coelastrum microporum,8
Coelastrum reticulatum,9
Coelastrum cambricum,10
Cosmarium botrytis,11
Gloecystis gigas,12
Golenkinia minutissima,13
Monoraphidium minutum,14
Oocystis polymorpha,16
Pediastrum boryanum,17
Pediastrum duplex,18
Pediastrum tetras,19
Planktosphaeria botryoides,20
Scenedesmus acuminatus,21
Scenedesmus obliquus,22
Selenastrum capricornutum,23
Tetraedron minutum var. scrobiculatum,24
